,timestamp,PV_obs,GHI,DNI,DHI,SA,SZ,CO,Temp
0,2020-09-01 00:00:00,0.0,0.0,0.0,0.0,-6.0,118.0,46.9,9.2
1,2020-09-01 01:00:00,0.0,0.0,0.0,0.0,-22.0,116.0,49.5,9.1
2,2020-09-01 02:00:00,0.0,0.0,0.0,0.0,-38.0,111.0,64.8,9.2
3,2020-09-01 03:00:00,0.0,0.0,0.0,0.0,-52.0,105.0,64.4,9.0
4,2020-09-01 04:00:00,0.0,0.0,0.0,0.0,-65.0,97.0,69.2,8.7
5,2020-09-01 05:00:00,0.0,10.0,0.0,10.0,-77.0,89.0,47.9,8.9
6,2020-09-01 06:00:00,0.0,122.0,387.0,48.0,-89.0,80.0,6.4,10.1
7,2020-09-01 07:00:00,0.0,279.0,636.0,71.0,-101.0,71.0,0.0,12.0
8,2020-09-01 08:00:00,0.0,428.0,742.0,86.0,-115.0,63.0,0.0,13.6
9,2020-09-01 09:00:00,0.8,554.0,785.0,103.0,-130.0,55.0,0.0,14.9
10,2020-09-01 10:00:00,1.4,646.0,809.0,115.0,-147.0,49.0,0.30000000000000004,16.0
11,2020-09-01 11:00:00,1.6,572.0,375.0,312.0,-167.0,45.0,18.0,16.8
12,2020-09-01 12:00:00,1.7000000000000002,438.0,43.0,407.0,173.0,45.0,37.5,17.1
13,2020-09-01 13:00:00,1.7000000000000002,322.0,0.0,322.0,152.0,48.0,51.1,17.2
14,2020-09-01 14:00:00,1.1,446.0,246.0,300.0,134.0,53.0,22.4,17.2
15,2020-09-01 15:00:00,0.7000000000000001,419.0,502.0,172.0,119.0,60.0,8.4,17.0
16,2020-09-01 16:00:00,0.7000000000000001,281.0,420.0,136.0,105.0,69.0,9.0,16.5
17,2020-09-01 17:00:00,0.4,158.0,421.0,64.0,93.0,78.0,1.6,15.6
18,2020-09-01 18:00:00,0.1,29.0,108.0,17.0,81.0,87.0,44.7,14.6
19,2020-09-01 19:00:00,0.0,0.0,0.0,0.0,69.0,95.0,50.0,14.0
20,2020-09-01 20:00:00,0.0,0.0,0.0,0.0,56.0,103.0,43.2,13.8
21,2020-09-01 21:00:00,0.0,0.0,0.0,0.0,42.0,110.0,69.8,13.6
22,2020-09-01 22:00:00,0.0,0.0,0.0,0.0,27.0,115.0,89.9,13.1
23,2020-09-01 23:00:00,0.0,0.0,0.0,0.0,11.0,118.0,61.1,12.2
24,2020-09-02 00:00:00,0.0,0.0,0.0,0.0,-6.0,118.0,34.3,11.6
25,2020-09-02 01:00:00,0.0,0.0,0.0,0.0,-23.0,116.0,74.2,11.3
26,2020-09-02 02:00:00,0.0,0.0,0.0,0.0,-38.0,112.0,65.6,10.9
27,2020-09-02 03:00:00,0.0,0.0,0.0,0.0,-52.0,105.0,61.0,10.5
28,2020-09-02 04:00:00,0.0,0.0,0.0,0.0,-65.0,98.0,57.8,10.4
29,2020-09-02 05:00:00,0.0,6.0,0.0,6.0,-77.0,89.0,59.4,10.7
30,2020-09-02 06:00:00,0.0,46.0,0.0,46.0,-89.0,80.0,63.9,11.6
31,2020-09-02 07:00:00,0.0,237.0,358.0,113.0,-102.0,71.0,13.8,13.1
32,2020-09-02 08:00:00,0.1,315.0,282.0,186.0,-115.0,63.0,23.7,14.5
33,2020-09-02 09:00:00,0.7000000000000001,349.0,69.0,312.0,-130.0,55.0,34.3,15.6
34,2020-09-02 10:00:00,1.0,321.0,25.0,305.0,-147.0,49.0,48.0,16.4
35,2020-09-02 11:00:00,1.2,205.0,0.0,205.0,-167.0,46.0,69.1,15.4
36,2020-09-02 12:00:00,1.0,132.0,0.0,132.0,172.0,45.0,80.2,13.4
37,2020-09-02 13:00:00,0.5,172.0,0.0,172.0,152.0,48.0,72.3,12.5
38,2020-09-02 14:00:00,0.2,184.0,0.0,184.0,134.0,53.0,66.5,12.2
39,2020-09-02 15:00:00,0.2,122.0,0.0,122.0,119.0,61.0,71.4,12.0
40,2020-09-02 16:00:00,0.2,123.0,0.0,123.0,105.0,69.0,57.3,12.7
41,2020-09-02 17:00:00,0.1,60.0,0.0,60.0,93.0,78.0,59.8,13.3
42,2020-09-02 18:00:00,0.0,15.0,0.0,15.0,81.0,87.0,47.2,13.7
43,2020-09-02 19:00:00,0.0,0.0,0.0,0.0,69.0,96.0,72.5,14.0
44,2020-09-02 20:00:00,0.0,0.0,0.0,0.0,56.0,104.0,77.7,14.2
45,2020-09-02 21:00:00,0.0,0.0,0.0,0.0,42.0,110.0,69.4,14.3
46,2020-09-02 22:00:00,0.0,0.0,0.0,0.0,27.0,116.0,76.5,14.5
47,2020-09-02 23:00:00,0.0,0.0,0.0,0.0,11.0,118.0,62.0,15.3
48,2020-09-03 00:00:00,0.0,0.0,0.0,0.0,-6.0,119.0,72.7,16.1
49,2020-09-03 01:00:00,0.0,0.0,0.0,0.0,-23.0,117.0,86.9,16.7
50,2020-09-03 02:00:00,0.0,0.0,0.0,0.0,-38.0,112.0,91.6,17.2
51,2020-09-03 03:00:00,0.0,0.0,0.0,0.0,-53.0,106.0,84.4,17.4
52,2020-09-03 04:00:00,0.0,0.0,0.0,0.0,-66.0,98.0,82.2,17.4
53,2020-09-03 05:00:00,0.0,1.0,0.0,1.0,-78.0,89.0,83.6,17.1
54,2020-09-03 06:00:00,0.0,39.0,0.0,39.0,-90.0,81.0,67.6,16.5
55,2020-09-03 07:00:00,0.0,89.0,0.0,89.0,-102.0,72.0,66.9,16.3
56,2020-09-03 08:00:00,0.0,152.0,0.0,152.0,-115.0,63.0,62.2,16.3
57,2020-09-03 09:00:00,0.1,331.0,59.0,296.0,-130.0,56.0,39.3,16.6
58,2020-09-03 10:00:00,0.1,432.0,134.0,346.0,-147.0,50.0,31.7,17.1
